id	youtubeId	city	country	hour	minute	director	directorUrl	walker	walkerUrl
178			Japan	20	45	WalkingJunkey	*	YOSHITAKA	*
179			Japan	20	50	WalkingJunkey	*	YOSHITAKA	*
180	gAyivrO0jq8	Shibuya,Tokyo	Japan	20	55	WalkingJunkey	*	YOSHITAKA	*
181	K50VUgcJt7s	Shinjuku,Tokyo	Japan	21	0	WalkingJunkey	*	YOSHITAKA	*
182	jHcYbv4eGz8	Shibuya,Tokyo	Japan	21	5	WalkingJunkey	*	YOSHITAKA	*
183	ycp278o__kU	Machida,Tokyo	Japan	21	10	WalkingJunkey	*	YURIA	*
184			Japan	21	15	WalkingJunkey	*	YOSHITAKA	*
185	xif_kLU22No	Machida,Tokyo	Japan	21	20	WalkingJunkey	*	YOSHITAKA	*
186			Japan	21	25	WalkingJunkey	*	YOSHITAKA	*
187			Japan	21	30	WalkingJunkey	*	YOSHITAKA	*
188			Japan	21	35	WalkingJunkey	*	YOSHITAKA	*
189			Japan	21	40	WalkingJunkey	*	YOSHITAKA	*
190			Japan	21	45	WalkingJunkey	*	YOSHITAKA	*
191			Japan	21	50	WalkingJunkey	*	YOSHITAKA	*
192	0ENCobxWVhw	Shinjuku,Tokyo	Japan	21	55	WalkingJunkey	*	YOSHITAKA	*
193	7cqlfQLWHnM	Yokohama,Kanagawa	Japan	22	0	WalkingJunkey	*	TSUCHIYA	*
194	ZZ2SVcN5P0s	Enoshima,Kanagawa	Japan	22	5	WalkingJunkey	*	YOSHITAKA	*
195	k9dcOQACOSg	Roppongi,Tokyo	Japan	22	10	WalkingJunkey	*	YOSHITAKA	*
196	Q9bANx5ZM9I	Enoshima,Kanagawa	Japan	22	15	WalkingJunkey	*	YOSHITAKA	*
197	v1dxXKvUvK4	Roppongi,Tokyo	Japan	22	20	WalkingJunkey	*	YOSHITAKA	*
198			Japan	22	25	WalkingJunkey	*	YOSHITAKA	*
199			Japan	22	30	WalkingJunkey	*	YOSHITAKA	*
200	3lv_SDMe4Qw	Shinjuku,Tokyo	Japan	22	35	WalkingJunkey	*	YOSHITAKA	*
201	VzXYhsHfQeo	Machida,Tokyo	Japan	22	40	WalkingJunkey	*	YOSHITAKA	*
202	WN5pcaUeyD8	Shimoiida,Tokyo	Japan	22	45	WalkingJunkey	*	YOSHITAKA	*
203			Japan	22	50	WalkingJunkey	*	YOSHITAKA	*
204			Japan	22	55	WalkingJunkey	*	YOSHITAKA	*
205	j3-cCkUGO1M	China-town,Kanagawa	Japan	23	0	WalkingJunkey	*	TSUCHIYA	*
206			Japan	23	5	WalkingJunkey	*	YOSHITAKA	*
207			Japan	23	10	WalkingJunkey	*	YOSHITAKA	*
208			Japan	23	15	WalkingJunkey	*	YOSHITAKA	*
209			Japan	23	20	WalkingJunkey	*	YOSHITAKA	*
210			Japan	23	25	WalkingJunkey	*	YOSHITAKA	*
211			Japan	23	30	WalkingJunkey	*	YOSHITAKA	*
212			Japan	23	35	WalkingJunkey	*	YOSHITAKA	*
213			Japan	23	40	WalkingJunkey	*	YOSHITAKA	*
214			Japan	23	45	WalkingJunkey	*	YOSHITAKA	*
215			Japan	23	50	WalkingJunkey	*	YOSHITAKA	*
216			Japan	23	55	WalkingJunkey	*	YOSHITAKA	*
217	7cqlfQLWHnM	Yokohama,Kanagawa	Japan	0	0	WalkingJunkey	*	TSUCHIYA	*
218			Japan	0	5	WalkingJunkey	*	YOSHITAKA	*
219			Japan	0	10	WalkingJunkey	*	YOSHITAKA	*
220			Japan	0	15	WalkingJunkey	*	YOSHITAKA	*
221			Japan	0	20	WalkingJunkey	*	YOSHITAKA	*
222			Japan	0	25	WalkingJunkey	*	YOSHITAKA	*
223			Japan	0	30	WalkingJunkey	*	YOSHITAKA	*
224			Japan	0	35	WalkingJunkey	*	YOSHITAKA	*
225			Japan	0	40	WalkingJunkey	*	YOSHITAKA	*
226			Japan	0	45	WalkingJunkey	*	YOSHITAKA	*
227			Japan	0	50	WalkingJunkey	*	YOSHITAKA	*
228			Japan	0	55	WalkingJunkey	*	YOSHITAKA	*
229	A_9cInzLNuI	Akabane,Kanagawa	Japan	1	0	WalkingJunkey	*	TOSHITAKA	*
230			Japan	1	5	WalkingJunkey	*	YOSHITAKA	*
231			Japan	1	10	WalkingJunkey	*	YOSHITAKA	*
232			Japan	1	15	WalkingJunkey	*	YOSHITAKA	*
233			Japan	1	20	WalkingJunkey	*	YOSHITAKA	*
234			Japan	1	25	WalkingJunkey	*	YOSHITAKA	*
235			Japan	1	30	WalkingJunkey	*	YOSHITAKA	*
236			Japan	1	35	WalkingJunkey	*	YOSHITAKA	*
237			Japan	1	40	WalkingJunkey	*	YOSHITAKA	*
238			Japan	1	45	WalkingJunkey	*	YOSHITAKA	*
239			Japan	1	50	WalkingJunkey	*	YOSHITAKA	*
240			Japan	1	55	WalkingJunkey	*	YOSHITAKA	*
241	V0U_6Wc0hPs	Daikokuhuto,Kanagawa	Japan	2	0	WalkingJunkey	*	MASAKI	*
242			Japan	2	5	WalkingJunkey	*	YOSHITAKA	*
243			Japan	2	10	WalkingJunkey	*	YOSHITAKA	*
244			Japan	2	15	WalkingJunkey	*	YOSHITAKA	*
245			Japan	2	20	WalkingJunkey	*	YOSHITAKA	*
246			Japan	2	25	WalkingJunkey	*	YOSHITAKA	*
247			Japan	2	30	WalkingJunkey	*	YOSHITAKA	*
248			Japan	2	35	WalkingJunkey	*	YOSHITAKA	*
249			Japan	2	40	WalkingJunkey	*	YOSHITAKA	*
250			Japan	2	45	WalkingJunkey	*	YOSHITAKA	*
251			Japan	2	50	WalkingJunkey	*	YOSHITAKA	*
252			Japan	2	55	WalkingJunkey	*	YOSHITAKA	*
253	5uHuXvavZZ4	Miura-Hantou,Kanagawa	Japan	3	0	WalkingJunkey	*	YOSHITAKA	*
254			Japan	3	5	WalkingJunkey	*	YOSHITAKA	*
255			Japan	3	10	WalkingJunkey	*	YOSHITAKA	*
256			Japan	3	15	WalkingJunkey	*	YOSHITAKA	*
257			Japan	3	20	WalkingJunkey	*	YOSHITAKA	*
258			Japan	3	25	WalkingJunkey	*	YOSHITAKA	*
259			Japan	3	30	WalkingJunkey	*	YOSHITAKA	*
260			Japan	3	35	WalkingJunkey	*	YOSHITAKA	*
261			Japan	3	40	WalkingJunkey	*	YOSHITAKA	*
262			Japan	3	45	WalkingJunkey	*	YOSHITAKA	*
263			Japan	3	50	WalkingJunkey	*	YOSHITAKA	*
264			Japan	3	55	WalkingJunkey	*	YOSHITAKA	*
265	voZly2q0x6o	Azabu-dai,Tokyo	Japan	4	0	WalkingJunkey	*	YOSHITAKA	*
266			Japan	4	5	WalkingJunkey	*	YOSHITAKA	*
267			Japan	4	10	WalkingJunkey	*	YOSHITAKA	*
268			Japan	4	15	WalkingJunkey	*	YOSHITAKA	*
269			Japan	4	20	WalkingJunkey	*	YOSHITAKA	*
270			Japan	4	25	WalkingJunkey	*	YOSHITAKA	*
271			Japan	4	30	WalkingJunkey	*	YOSHITAKA	*
272			Japan	4	35	WalkingJunkey	*	YOSHITAKA	*
273			Japan	4	40	WalkingJunkey	*	YOSHITAKA	*
274			Japan	4	45	WalkingJunkey	*	YOSHITAKA	*
275			Japan	4	50	WalkingJunkey	*	YOSHITAKA	*
276			Japan	4	55	WalkingJunkey	*	YOSHITAKA	*
277	ukkXemgvCNA	Jogashima,Kanagawa	Japan	5	0	WalkingJunkey	*	YOSHITAKA	*
278			Japan	5	5	WalkingJunkey	*	YOSHITAKA	*
279			Japan	5	10	WalkingJunkey	*	YOSHITAKA	*
280			Japan	5	15	WalkingJunkey	*	YOSHITAKA	*
281			Japan	5	20	WalkingJunkey	*	YOSHITAKA	*
282			Japan	5	25	WalkingJunkey	*	YOSHITAKA	*
283			Japan	5	30	WalkingJunkey	*	YOSHITAKA	*
284			Japan	5	35	WalkingJunkey	*	YOSHITAKA	*
285			Japan	5	40	WalkingJunkey	*	YOSHITAKA	*
286			Japan	5	45	WalkingJunkey	*	YOSHITAKA	*
287			Japan	5	50	WalkingJunkey	*	YOSHITAKA	*
288			Japan	5	55	WalkingJunkey	*	YOSHITAKA	*
